LAT,LON,ELEVATION,ROLL,PITCH,HEADING,UTCSOD,UTCDATE,SURFACE,BOTTOM,THICKNESS,SURFACE_TYPE,BOTTOM_TYPE,SURFACE_QUALITY,BOTTOM_QUALITY,SEASON,FRAME
80.59597064,-60.02319462,7201.33012,-0.00519,0.05266,-0.73482,43477.000,20100420,7113.258,7578.491,465.233,2,2,1,1,2010_Greenland_DC8,20100420_02_007
80.59606629,-60.02377044,7201.32671,-0.00492,0.05259,-0.73481,43477.000,20100420,7113.288,7578.241,464.953,2,2,1,1,2010_Greenland_DC8,20100420_02_007
80.59616194,-60.02434627,7201.32307,-0.00466,0.05254,-0.73482,43477.000,20100420,7113.315,7577.901,464.586,2,2,1,1,2010_Greenland_DC8,20100420_02_007
80.59625759,-60.02492209,7201.31913,-0.00442,0.05249,-0.73483,43477.000,20100420,7113.341,7577.676,464.336,2,2,1,1,2010_Greenland_DC8,20100420_02_007
80.59635325,-60.02549792,7201.31498,-0.00420,0.05246,-0.73483,43477.000,20100420,7113.374,7577.330,463.957,2,2,1,1,2010_Greenland_DC8,20100420_02_007
80.59644890,-60.02607375,7201.31055,-0.00407,0.05243,-0.73485,43477.000,20100420,7113.392,7576.977,463.585,2,2,1,1,2010_Greenland_DC8,20100420_02_007
80.59654456,-60.02664958,7201.30582,-0.00398,0.05240,-0.73486,43477.000,20100420,7113.417,7576.636,463.219,2,2,1,1,2010_Greenland_DC8,20100420_02_007
80.59664021,-60.02722542,7201.30085,-0.00395,0.05239,-0.73489,43477.000,20100420,7113.445,7576.294,462.849,2,2,1,1,2010_Greenland_DC8,20100420_02_007
80.59673587,-60.02780125,7201.29547,-0.00396,0.05239,-0.73490,43477.000,20100420,7113.475,7575.948,462.473,2,2,1,1,2010_Greenland_DC8,20100420_02_007
80.59683152,-60.02837708,7201.28984,-0.00404,0.05239,-0.73491,43478.000,20100420,7113.495,7575.605,462.110,2,2,1,1,2010_Greenland_DC8,20100420_02_007
80.59692718,-60.02895292,7201.28396,-0.00418,0.05242,-0.73494,43478.000,20100420,7113.519,7575.259,461.740,2,2,1,1,2010_Greenland_DC8,20100420_02_007
80.59683279,-60.03086129,541.28159,0.00668,-0.00756,2.35715,65955.000,20100420,461.117,962.615,501.498,2,2,1,1,2010_Greenland_DC8,20100420_03_009
80.59673745,-60.03028237,541.11084,0.00667,-0.00752,2.35719,65955.000,20100420,460.223,962.491,502.267,2,2,1,1,2010_Greenland_DC8,20100420_03_009
80.59664209,-60.02970357,540.93928,0.00655,-0.00732,2.35728,65955.000,20100420,459.559,962.463,502.903,2,2,1,1,2010_Greenland_DC8,20100420_03_009
80.59654671,-60.02912488,540.76608,0.00633,-0.00722,2.35732,65955.000,20100420,459.230,962.588,503.358,2,2,1,1,2010_Greenland_DC8,20100420_03_009
80.59645131,-60.02854630,540.59212,0.00606,-0.00720,2.35736,65955.000,20100420,459.125,962.760,503.635,2,2,1,1,2010_Greenland_DC8,20100420_03_009
80.59635590,-60.02796783,540.41788,0.00566,-0.00723,2.35738,65955.000,20100420,459.104,962.863,503.760,2,2,1,1,2010_Greenland_DC8,20100420_03_009
80.59626047,-60.02738948,540.24277,0.00518,-0.00734,2.35740,65955.000,20100420,459.102,962.933,503.831,2,2,1,1,2010_Greenland_DC8,20100420_03_009
80.59616502,-60.02681127,540.06751,0.00478,-0.00735,2.35746,65955.000,20100420,459.102,962.980,503.878,2,2,1,1,2010_Greenland_DC8,20100420_03_009
80.59606956,-60.02623315,539.89219,0.00433,-0.00718,2.35750,65955.000,20100420,459.102,964.598,505.496,2,2,1,1,2010_Greenland_DC8,20100420_03_009
80.59597408,-60.02565515,539.71678,0.00383,-0.00695,2.35755,65955.000,20100420,459.102,966.395,507.293,2,2,1,1,2010_Greenland_DC8,20100420_03_009
80.59587857,-60.02507727,539.54190,0.00332,-0.00665,2.35766,65956.000,20100420,459.102,967.177,508.075,2,2,1,1,2010_Greenland_DC8,20100420_03_009
